en,de
"""srms, which include the brain, spinal cord, and spleen, carry the greatest risk of infectivity for bse and possible risk for human exposure to nvcjd.","""das spezifizierte risikomaterial, zu dem gehirn, rückenmark und milz gehören, birgt die größte bse-infektionsgefahr sowie ein mögliches expositionsrisiko des menschen gegenüber der neuen variante der creutzfeldt-jakob-krankheit (nvcjd)."
"""the council takes note of the general conclusion of the court of auditors that the system of management of public contracts awarded by the joint research centre requires improved structures and methods as well as additional resources in order to ensure more detailed checks on public contracts awarded by the joint research centre.","""der rat nimmt kenntnis von der allgemeinen schlussfolgerung des rechnungshofs, wonach die verwaltung der von der gemeinsamen forschungsstelle vergebenen öffentlichen aufträge verbesserter strukturen und methoden sowie zusätzlicher mittel bedarf, damit eine eingehendere kontrolle der genannten aufträge gewährleistet ist."
"“this action falls directly in line with the objectives of the european research area, namely to put scientific excellence at the heart of our policies”, said philippe busquin.","""diese maßnahme steht unmittelbar im einklang mit den zielen des europäischen forschungsraums, wissenschaftliche spitzenleistungen in den mittelpunkt unserer politik zu stellen"", sagte philippe busquin."
"“we must make sure that reach will actually provide the tools for the cost-effective protection of human health and the environment, while maintaining and even boosting the european industry's competitiveness.","""wir müssen sicherstellen, dass durch reach die instrumente für einen kostengünstigen schutz von gesundheit und umwelt tatsächlich bereitgestellt und gleichzeitig die wettbewerbsfähigkeit der europäischen industrie gewahrt bzw. sogar erhöht wird."
"that assistance to developing countries in their efforts to address cc should be part of the eu development co-operation activities, in particular at ec level in the context of the mid-term review process and in accordance with the ec environmental policy objectives; such assistance should be coherent with and contribute to the overarching objective of poverty reduction and be integrated into poverty reduction strategies and/or national strategies for sustainable development;","18. dass die unterstützung für die entwicklungsländer in ihrem bemühen, die frage des klimawandels anzugehen, unter die tätigkeiten der entwicklungszusammenarbeit der eu aufgenommen werden sollte, speziell auf eg-ebene im rahmen des prozesses der halbzeitüberprüfung und im einklang mit den zielen der umweltpolitik der eg; diese unterstützung sollte dem übergeordneten ziel der armutsbekämpfung entsprechen und zu ihm beitragen und sie sollte in die strategien zur armutsbekämpfung und/oder die nationalen strategien für die nachhaltige entwicklung aufgenommen werden;"
"in 1998, the commission asked the scientific committee of veterinary measures relating to public health (scvph) to prepare an assessment of the risks to human health from hormone residues in meat and meat products.",1998 hatte die kommission den wissenschaftlichen ausschuß für veterinärmaßnahmen im zusammenhang mit der öffentlichen gesundheit (scvph) mit der bewertung möglicher risiken für die menschliche gesundheit durch hormonrückstände in fleisch und fleischerzeugnissen beauftragt.
"3.3 to promote the declaration of economic activity and employment and combat the incidence of undeclared work through awareness-raising and other actions such as, where appropriate, collective bargaining undertaken in accordance with national traditions and practice, in ways which contribute inter alia to the simplification of the business environment, particularly as far as small and medium-sized enterprises are concerned.","3.3. die anmeldung der wirtschaftstätigkeit und beschäftigung zu fördern und das ausmaß nicht angemeldeter erwerbstätigkeit zu verringern; dies soll durch sensibilisierungsaktionen und andere maßnahmen wie gegebenenfalls kollektivverhandlungen im einklang mit den nationalen traditionen und gepflogenheiten erreicht werden, so dass unter anderem zu einer vereinfachung des geschäftsumfelds insbesondere für kleine und mittlere unternehmen beigetragen wird;"
"the eu has the same expectations of all the countries in the region: full respect for democracy and human rights, a commitment to work for a just peace through implementation of the dayton agreement, including by full cooperation with the international criminal tribunal for former yugoslavia, and the other accords that ended the war; good neighbourliness, and a constructive approach to solving the ethnic and minority problems of the region, in particular in kosovo.","7.die eu hegt gegenüber allen ländern der region dieselben erwartungen: umfassende achtung von demokratie und menschenrechten; die verpflichtung, durch umsetzung des abkommens von dayton, einschließlich einer umfassenden zusammenarbeit mit dem internationalen gerichtshof für kriegsverbrechen im ehemaligen jugoslawien, und der anderen abkommen, die zur beendigung des kriegs geführt haben, auf einen gerechten frieden hinzuwirken; gutnachbarschaftliche beziehungen sowie ein konstruktives bemühen um die lösung der ethnischen und minderheitenprobleme in der region, insbesondere im kosovo."
landfills operating in breach of eu waste legislation can pose a threat to human health and the environment.,"abfalldeponien, die entgegen den vorschriften des eu-abfallrechts betrieben werden, können zu einer gefahr für die menschliche gesundheit und die umwelt werden."
"the aim of adna is to develop personalised medicine in order to provide individual treatment and clinical monitoring to patients suffering from infectious diseases, cancer and genetic diseases.","adna strebt die entwicklung einer personalisierten medizin an, um so die behandlung und klinische überwachung von patienten, die an infektionskrankheiten, krebs und genetischen erkrankungen leiden, zu individualisieren."
"at the beginning of october each year, the commission will present a summary document on employment developments on which other community bodies, in particular the european parliament, and the social partners will be invited to examine and deliver their opinions.","alljährlich wird die kommission zu beginn des monats oktober ein synthesepapier zur beschäftigungsentwicklung vorlegen, das den übrigen gemeinschaftsorganen und -gremien, insbesondere dem europäischen parlament und den sozialpartnern, zur prüfung und stellungnahme unterbreitet werden wird."
alpha-immunotherapy should develop into an effective treatment over the next few years and provide new methods of healing for patients.,alpha-immuntherapie sollte in den kommenden jahren zu einer wirksamen behandlung weiter entwickelt werden und neue heilungsmethoden für die patienten erschließen.
alro slatina has an ongoing long-term contract with hidroelectrica for the delivery of 3 twh of electricity per year at a price very close to hidroelectrica's own production costs and subsequently indexed annually on the basis of the aluminium price quotation on the london metal exchange (lme).,"alro slatina hat einen langfristigen stromvertrag mit hidroelectrica geschlossen, der die lieferung von jährlich 3 twh strom zu einem preis vorsieht, der kaum über den erzeugungskosten von hidroelectrica liegt und jährlich auf der grundlage der entwicklung der aluminiumpreise an der londoner metallbörse lme indexiert wird."
"in another provision, the directive bans the use of feeding catering waste to pigs (waste from food intended for human consumption originating in restaurants, catering facilities and kitchens), although the commission may grant temporary and strictly controlled derogation to this ban, in accordance with the new regulation on animal by-products (see ip/02/1361)","andere bestimmungen der richtlinie untersagen die verfütterung von küchen- und speiseabfällen (abfällen von lebensmitteln aus restaurants, großküchen und anderen küchen) an schweine, allerdings kann die kommission gemäß der neuen verordnung über tierische nebenprodukte befristete und streng überwachte ausnahmeregelungen zulassen (ip/02/1361)."
3. the acceptance of a system of indirect taxation specific to the canaries as an instrument of economic and social development and for the financing of local budgets and designed to establish conditions for complete integration into the community at the end of a transitional period which may not exceed ten years;,"anerkennung von sonderbestimmungen einer indirekten besteuerung auf den kanarischen inseln als instrument zur wirtschaftlichen und sozialen entwicklung und zur finanzierung der gebietsspezifischen haushalte, mit der die voraussetzungen fuer eine uneingeschraenkte eingliederung in die gemeinschaft nach ablauf einer uebergangszeit von hoechstens zehn jahren geschaffen werden sollen;"
"in view of the potential risks, the italian court calls into question the validity of that procedure, which does not require a full assessment of the safety of foods and food ingredients in relation to the risks they pose to human health and the environment and does not entail the participation of the member states and their scientific bodies.","angesichts der potenziellen risiken hat das italienische gericht zweifel an der rechtmäßigkeit dieses verfahrens, da es keine vollständige prüfung der unbedenklichkeit der lebensmittel und lebensmittelzutaten im hinblick auf ihre risiken für die menschliche gesundheit und die umwelt verlange und keine beteiligung der mitgliedstaaten und ihrer wissenschaftlichen einrichtungen vorsehe."
"with the humanitarian situation in greece getting more acute every day, member states urgently need to deliver on their commitments and prevent a further deterioration of the situation for refugees in greece.","angesichts der sich mit jedem tag weiter zuspitzenden humanitren lage in griechenland mssen die mitgliedstaaten ihren verpflichtungen dringend nachkommen, um zu verhindern, dass sich die lage fr die flchtlinge in griechenland weiter verschlechtert."
"the symbol will allow patients and health care professionals to easily identify medicinal products that are undergoing additional monitoring, and its accompanying text will encourage them to report unexpected adverse reactions through national reporting systems.","anhand des symbols können patienten und angehörige der gesundheitsberufe leicht erkennen, ob ein arzneimittel einer zusätzlichen überwachung unterliegt; und im begleittext werden sie aufgefordert, unerwartete nebenwirkungen über die nationalen meldesysteme mitzuteilen."
"member states can then choose which type of assistance they wish to provide and delivery methods, according to the particular situation in the country and their preferences.","anschließend können die mitgliedstaaten je nach der speziellen situation in ihrem land und nach ihren präferenzen selbst entscheiden, welche art von unterstützungsleistung sie bieten und nach welcher methode sie die leistung erbringen möchten."
"member states can then choose which type of assistance they wish to provide and the delivery methods, according to the particular situation in the country and their preferences.","anschließend können die mitgliedstaaten je nach der speziellen situation in ihrem land und nach ihren präferenzen selbst entscheiden, welche art von unterstützungsleistung sie bieten und nach welcher methode sie die leistungen erbringen möchten."
"thus, instead of helping to create more fishing capacity and fishing pressure, aid should be used for to benefit the sector by compensating those who want to leave by allocating aid for scrapping vessels, for early retirement schemes and to provide training and grants for those who want to find alternative work.","anstatt mehr fangkapazitäten und höheren druck zu schaffen, sollten die beihilfen dem sektor dienen, indem sie über abwrackprämien, vorruhestandsregelungen, ausbildungsmaßnahmen und zuschüsse all jenen helfen, die arbeit in einem anderen sektor suchen."
"it will also hold important market positions in a number of by-products obtained from the orange juice extraction process, such as orange oils and essences, orange pulp and citrus pellets.","auch bei einer reihe von nebenerzeugnissen, die während der saftgewinnung anfallen, wie orangenöle und -essenzen, fruchtfleisch und citruspellets, wird das neu aufgestellte unternehmen über eine starke marktposition verfügen."
"although the cross-sectoral co-operation needed for early intervention and other special measures aimed at ensuring equity in education and training inevitably entail additional costs, in the long term they pay dividends by helping to avoid future costs resulting from exclusion;","auch wenn die sektorenübergreifende zusammenarbeit bei den frühzeitig ansetzenden maßnahmen und anderen sondermaßnahmen, mit denen gerechtigkeit in der allgemeinen und beruflichen bildung gewährleistet werden soll, unausweichlich mit höheren ausgaben verbunden ist, so zahlen diese sich jedoch langfristig aus, da sich so künftige kosten, die durch die ausgrenzung entstehen, vermeiden lassen."
